store_nbr,family,best_model,best_wape,mape,best_bias,test_weeks
2,GROCERY I,seasonal_naive,0.11714779628864683,0.30668626315314224,0.021087092875609954,12
3,BEVERAGES,sarimax_promo,0.1261100044599268,0.3188566430728516,0.049727255157300344,12
3,GROCERY I,seasonal_naive,0.11632957437426332,0.2841439855962658,-0.00012039906269329675,12
3,PRODUCE,seasonal_naive,0.09336201072796338,0.2508828460408567,0.03116586951789652,12
6,GROCERY I,sarimax_promo,0.10964829692788026,0.34360439997768283,0.08125410325486158,12
8,GROCERY I,moving_avg_8,0.12565221079161942,0.34587158063160084,0.09768802937220522,12
9,GROCERY I,seasonal_naive,0.1265049683146457,0.27381397395549784,-0.0017585936649834588,12
11,GROCERY I,seasonal_naive,0.11966780951196815,0.2487189040588711,-0.0072816387979328205,12
17,GROCERY I,seasonal_naive,0.11060792754156569,0.246702974445977,0.04562256965002948,12
31,GROCERY I,moving_avg_8,0.12790575521730407,0.2889939003988136,0.06281387946040926,12
39,GROCERY I,ets,0.19072345802205537,0.304551177910596,-0.03787399461626453,12
40,GROCERY I,sarimax_promo,0.120718098433933,0.2501511168543546,0.02437314643331829,12
44,BEVERAGES,moving_avg_8,0.12890555840004578,0.3927127540235084,0.06319653461319442,12
44,GROCERY I,sarimax_promo,0.12093402974923774,0.36563027909881646,0.06720006705814252,12
44,PRODUCE,moving_avg_8,0.10661128839988042,0.3110454401664573,0.04896424604039019,12
45,BEVERAGES,sarimax_promo,0.10326796447082402,0.3128472269261446,0.05422611284578335,12
45,GROCERY I,ets,0.12458840708065398,0.3227123451704411,0.07612371084700828,12
45,PRODUCE,moving_avg_8,0.10265370074988699,0.29319808333023306,0.06020478051205157,12
46,BEVERAGES,naive,0.14004576916372852,0.3912588073953546,0.046685671552834054,12
46,GROCERY I,ets,0.15876530887039522,0.4126429595051639,0.11016053029676577,12
47,BEVERAGES,moving_avg_8,0.13164192360176583,0.3663554740423396,0.07060715553509933,12
47,GROCERY I,sarimax_promo,0.12716796508546274,0.3655209906849984,0.055081253638460136,12
47,PRODUCE,moving_avg_8,0.11371466118081773,0.29465844729879637,0.08827822941005434,12
48,GROCERY I,sarimax_promo,0.1273867365980128,0.4248771986989668,0.06843101705762919,12
49,BEVERAGES,sarimax_promo,0.13716803704090133,0.34470543880467236,0.08223048216025297,12
49,GROCERY I,ets,0.13414083678450955,0.3194906551224796,0.06480957000652206,12
49,PRODUCE,moving_avg_8,0.1343603299836131,0.3365251335553991,0.08775890787241385,12
50,GROCERY I,ets,0.09394070741904188,0.277864138901137,0.05823992105421205,12
51,BEVERAGES,sarimax_promo,0.11813812306820701,0.3333026392793245,0.07158966420728086,12
51,GROCERY I,ets,0.10561484795610893,0.28318480367931886,0.05282375901391903,12
