store_nbr,family,model,wape,mape,bias_pct,test_weeks
44,GROCERY I,naive,0.12307495393413351,0.33952625670275366,0.05876386504089772,12
44,GROCERY I,seasonal_naive,0.1515319466481194,0.3383162799509572,-0.024527809776348074,12
44,GROCERY I,moving_avg_8,0.12276160944356282,0.343822952275094,0.07312699689191236,12
44,GROCERY I,ets,0.13210940025229628,0.3522760863813734,0.07067729478066787,12
44,GROCERY I,sarimax_promo,0.12093402974923774,0.36563027909881646,0.06720006705814252,12
45,GROCERY I,naive,0.1276864838557255,0.3214216706614912,0.03547277205303834,12
45,GROCERY I,seasonal_naive,0.19236724854947582,0.346793048097039,-0.08449213383340981,12
45,GROCERY I,moving_avg_8,0.13129874409778322,0.33496575784122645,0.0680150328516258,12
45,GROCERY I,ets,0.12458840708065398,0.3227123451704411,0.07612371084700828,12
45,GROCERY I,sarimax_promo,0.1594548925348802,0.4753703225021984,0.08531657036775306,12
47,GROCERY I,naive,0.13890253034498354,0.3217967224691936,0.03179562196332476,12
47,GROCERY I,seasonal_naive,0.192140199339405,0.3355182137613266,-0.08726468488236411,12
47,GROCERY I,moving_avg_8,0.14762406468952607,0.3494307233785305,0.09354265712345217,12
47,GROCERY I,ets,0.13136035593100368,0.3162342483222682,0.07786906701634629,12
47,GROCERY I,sarimax_promo,0.12716796508546274,0.3655209906849984,0.055081253638460136,12
46,GROCERY I,naive,0.16210779198718706,0.421623675725133,0.08405930743284223,12
46,GROCERY I,seasonal_naive,0.24834259506418468,0.41330273858171135,-0.14928413696037254,12
46,GROCERY I,moving_avg_8,0.16654189618772577,0.4335655270984045,0.10427940498434794,12
46,GROCERY I,ets,0.15876530887039522,0.4126429595051639,0.11016053029676577,12
46,GROCERY I,sarimax_promo,0.1665174333700687,0.5699587547312007,0.11857050391121308,12
44,BEVERAGES,naive,0.12950459611160808,0.3946037837089307,0.06679076088256819,12
44,BEVERAGES,seasonal_naive,0.22405386135581676,0.43791807688484735,-0.10178437274201949,12
44,BEVERAGES,moving_avg_8,0.12890555840004578,0.3927127540235084,0.06319653461319442,12
44,BEVERAGES,ets,0.1707243830339679,0.44764600874997945,0.13632967317368308,12
44,BEVERAGES,sarimax_promo,0.13135428709575725,0.37946121103453717,0.06284950088374057,12
3,GROCERY I,naive,0.12289884823246632,0.3143993097595766,0.0492597715126787,12
3,GROCERY I,seasonal_naive,0.11632957437426332,0.2841439855962658,-0.00012039906269329675,12
3,GROCERY I,moving_avg_8,0.14307171118672818,0.35245747826863133,0.11353481113149516,12
3,GROCERY I,ets,0.13250592783872608,0.33991229430103137,0.12045642240129252,12
3,GROCERY I,sarimax_promo,0.12984624099067013,0.42307665614185996,0.09854590506674644,12
48,GROCERY I,naive,0.17308337867089535,0.39050779462648366,0.012854645846114648,12
48,GROCERY I,seasonal_naive,0.1671089490560138,0.33344050050379354,-0.060104585074488556,12
48,GROCERY I,moving_avg_8,0.18380016553033343,0.4313138537000581,0.09163637731655637,12
48,GROCERY I,ets,0.14655954512445293,0.35949714750574685,0.0722209616698111,12
48,GROCERY I,sarimax_promo,0.1273867365980128,0.4248771986989668,0.06843101705762919,12
45,BEVERAGES,naive,0.12802268507336978,0.3625900612954977,0.03410811701878875,12
45,BEVERAGES,seasonal_naive,0.2278180951541194,0.40419308996414194,-0.11955284132077408,12
45,BEVERAGES,moving_avg_8,0.12236547350234668,0.3600948303877145,0.04259393437532341,12
45,BEVERAGES,ets,0.15558329372228277,0.3946250221077501,0.13125117292633434,12
45,BEVERAGES,sarimax_promo,0.10326796447082402,0.3128472269261446,0.05422611284578335,12
3,BEVERAGES,naive,0.12827985489708366,0.32489154900544964,0.039247296069408154,12
3,BEVERAGES,seasonal_naive,0.22478948492372852,0.3795547749064518,-0.11346389245970083,12
